Restore	載入
I'm afraid I don't have any good news, Sonny.   Marie's condition is unchanged.	恐怕我沒有什麼好消息，Sonny。Marie 的狀況沒有改變。
There's nothing more we can do but wait... and hope.	我們現在能做的，只剩下等待……和盼望。
Again, I'm sorry, Officer.  Now if you'll excuse me, I have other patients to attend to.	再說一次，我很遺憾，警官。容我先失陪了，還有其他病人等著我。
She seems to be resting quietly now.	她現在似乎正安靜地休息著。
Hello, Sergeant Bonds.  I'm afraid there's no change.	你好，Bonds 警佐。恐怕還是沒有變化。
Nothing new to report, I'm afraid.	恐怕沒有新的消息可以回報。
We haven't noticed any changes, but I think she appreciates you being here, just the same.	我們沒有注意到什麼變化，不過我想她還是很感謝你在這裡陪著她。
In an anxious voice, you tell the nurse you're concerned about the IV dosage.	你語帶焦急地向護理師表示，你對點滴的劑量感到擔心。
I'll get the doctor to check on that right away, Officer.	我馬上請醫師來檢查一下，警官。
Torn between feeling foolish and genuinely alarmed, you explain to the doctor that there seems to be a discrepancy between the IV dosage on the chart and that on the IV meter.	你一邊覺得自己是不是太多心，一邊又真的感到不安，向醫師解釋病歷表上的點滴劑量和點滴計上顯示的似乎對不上。
The doctor looks doubtful as he checks the chart...	醫師一臉狐疑地翻看病歷表……
...Then the IV.	……接著又看了看點滴。
With a red face, the doctor says...	醫師漲紅了臉說……
Why...You're correct, Sergeant Bonds.   This dosage is obviously incorrect.	這……你說得沒錯，Bonds 警佐。這個劑量顯然不對。
I don't understand this at all.  I can't believe our staff could make such a serious error!   I have readjusted the IV.  Perhaps Marie will feel better now.	我實在不明白怎麼會這樣。真不敢相信我們的人員會犯下這麼嚴重的錯誤！我已經重新調整了點滴，Marie 現在或許會好一些。
Marie's eyelids flutter, almost as though she could hear her music box.	Marie 的眼皮微微顫動，彷彿聽見了音樂盒的聲音。
You could swear that you just saw Marie's finger move!	你敢發誓，你剛才看到 Marie 的手指動了一下！
Marie's mouth moves slightly.	Marie 的嘴唇微微動了一下。
Marie's eyes finally open. The warmth of her smile gives you hope for the first time since her attack.   You're a lucky man, Sonny Bonds.  Marie is alive and whole.	Marie 終於睜開了眼睛。她溫暖的笑容，是她遇襲以來你第一次感受到希望。你是個幸運的男人，Sonny Bonds。Marie 活著，而且完好無缺。
Do you need something, Sergeant Bonds?	你有什麼需要嗎，Bonds 警佐？
If there is nothing else, I have to get back to work.	如果沒別的事，我得回去工作了。
I never lost hope!  I just knew that somehow, someway, you would come back to me.	我從沒放棄希望！我就是知道，不管用什麼方法，妳一定會回到我身邊。
It was your strength and your will to live that brought you back.	是妳的堅強和求生意志，把妳帶回來的。
You're going to be fine now sweetness. You'll be up and around in no time.	妳現在會沒事的，甜心。妳很快就能下床走動了。
There's no doubt in my mind, somebody up there is looking out for you.	我很確定，上天在保佑著妳。
We're real close to nailing the animals that caused this.	我們已經快抓到做這件事的畜生了。
The digital readout indicates Marie's IV dosage.	數位顯示幕上顯示著 Marie 的點滴劑量。
One moment, Sir.	請稍等，長官。
That won't help Marie come back.  They're doing all they can.	那樣做對 Marie 醒來沒有幫助。他們已經盡力了。
You've already introduced yourself to the hospital staff.	你已經向醫院的工作人員自我介紹過了。
Marie is resting gently.  You don't want to disturb her.	Marie 正安穩地休息著，你不想打擾她。
You gently place a fresh rose in Marie's hand.   However, there is no response.  Nice try Sonny.	你輕輕把一朵新鮮玫瑰放進 Marie 手中，然而她毫無反應。這次沒成功，Sonny。
Marie's condition might yet be reversible.  Don't give up without a fight.	Marie 的狀況或許還有機會扭轉，別輕易放棄。
You can't change the medication by yourself.	你不能自己更改藥物用量。
The room temperature is monitored carefully by the staff.   You don't need to open the window.	病房的溫度有工作人員仔細控管，你不需要開窗。
Marie lies awake in the bed.	Marie 醒著躺在床上。
Marie lies motionless on the hospital bed.	Marie 一動也不動地躺在病床上。
The hospital bed does not need adjustment.	醫院病床不需要調整。
Words cannot discribe the joy you feel seeing Marie awake from her coma.	你看到 Marie 從昏迷中甦醒，心中的喜悅難以言喻。
The EKG monitor registers your wife's vital signs.   Its steady beep in response to her pulse gives you some small comfort.	心電圖監視器記錄著你妻子的生命徵象。隨著她脈搏起伏的規律嗶聲，讓你稍感安心。
The Monitor's beep reminds you that although Marie is awake, she is not out of the woods yet.	監視器的嗶聲提醒你，雖然 Marie 已經醒了，但還沒脫離險境。
Leave the monitor alone.  It will alert the staff if Marie goes into distress.	別動這台監視器。萬一 Marie 有異狀，它會通知醫護人員。
You do not need the metal stand.	你不需要這個金屬架。
There's nothing in the cabinets that would be of use to you.	櫃子裡沒有你用得到的東西。
You're too upset by the sight of Marie to even think about sitting down.	看到 Marie 這個樣子，你心煩意亂，根本沒心思坐下。
You don't feel like sitting right now.	你現在沒有心情坐下。
There's no reason to draw the curtains right now.	現在沒有理由拉上窗簾。
Marie is resting gently.  You do not to disturb her.	Marie 正安靜地休息，你不想打擾她。
You talk gently to your wife, hoping that some part of her hears you.	你輕聲對妻子說話，希望她多少能聽見你的聲音。
You are overjoyed to see your wife recovered.	看到妻子康復，你欣喜若狂。
Your beloved wife lies motionless in a coma.  You wish there was some way to know what she's thinking... if she's thinking.	你摯愛的妻子昏迷不醒、一動也不動。你多希望有辦法知道她在想什麼……如果她還在想事情的話。
You gently place a fresh rose in Marie's hand.   However, there is no response.	你輕輕把一朵新鮮的玫瑰放進 Marie 手中，但她毫無反應。
Marie's proud of your career as a police officer, but she's not interested in your badge right now.	Marie 一直以你的警察生涯為榮，但她現在對你的警徽沒興趣。
Marie's condition might yet be reversable.  Don't give up without a fight.	Marie 的狀況或許還有轉圜餘地，別輕言放棄。
You shouldn't mess with things you know nothing about.	你不該亂碰自己不懂的東西。
There's no reason to turn off the light.	沒有理由關燈。
You don't need the nurse now.	你現在不需要護士。
You press the call button and hope that the nurse is on the way.	你按下呼叫鈴，希望護士已經在路上了。
Let Marie keep her rose.	讓 Marie 留著她的玫瑰吧。
Let Marie keep her music box.	讓 Marie 留著她的音樂盒吧。
Let Marie keep her locket.	讓 Marie 留著她的項鍊墜子吧。
Wait up Boss...	等一下，老大……
Yo, Sonny, I think I'll make a phone call while you're upstairs.	嘿，Sonny，你上樓的時候，我先去打個電話。
While contemplating the elevator buttons, you realize that you have no idea what room they moved Marie to.	你盯著電梯按鈕看了半天，才發現自己根本不知道 Marie 被轉去哪個病房。
May I help you, Sir?	先生，需要我幫忙嗎？
I'm looking for my wife, Marie Bonds. Could you tell me what room she's in, please?	我在找我太太，Marie Bonds。可以告訴我她住哪個房間嗎？
 Oh, yes.  Your wife has been moved to room 307.  	喔，對了，你太太已經轉到307號房了。
The receptionist looks at you blankly.	接待員一臉茫然地看著你。
Is there something else that you need.	你還需要什麼嗎？
Can I get you something, Sir?	先生，需要幫您準備什麼嗎？
 I'm visiting my wife. 	我是來探望我太太的。
Ah! I'm sorry she's ill. Perhaps a nice fresh flower would cheer her up?	啊！很遺憾她生病了。或許一束新鮮的花能讓她開心一點？
We have lovely roses today. Ladies do like roses.	我們今天有很漂亮的玫瑰，女士們都喜歡玫瑰。
I think I'd like a rose, please.	我想要一朵玫瑰，麻煩你了。
Good choice. Our roses are particularly fresh and beautiful today.	好眼光。我們今天的玫瑰特別新鮮漂亮。
Here you are, Sir. That'll be $2.50.	先生，這是您的花，一共 $2.50。
You pay the florist and take the rose.	你付錢給花商，拿走了玫瑰。
You realize that you have no money. Red faced, you leave the flower shop without the rose.	你發現自己身上沒錢，尷尬地離開了花店，什麼也沒買成。
You buy ANOTHER rose. You note that you're getting very low on cash.	你又買了一朵玫瑰，並注意到自己的現金越來越少了。
Geez, you've spent all your money. You hope there's nothing that you need money for later on today.	天啊，你把錢花光了。希望今天稍後不會有什麼地方需要用到錢。
Too bad it's not Easter. Lilies are wonderful at Easter.	可惜現在不是復活節，復活節的百合花才漂亮呢。
Of course, buttercups are nice. I'm a sucker for wildflowers.	當然，毛茛花也不錯，我就是喜歡野花。
Daisies aren't in season right now, or I would have suggested daisies.	雛菊現在不是產季，不然我會推薦雛菊。
You know, your eyes are the nicest cornflower blue.	你知道嗎，你的眼睛是最漂亮的矢車菊藍。
Not now Bonds, I need to make a phone call.	現在不行，Bonds，我得打個電話。
Blow it out your ear, Bonds.	少來這套，Bonds。
You hang on to that stuff. I'm not interested in it!	那東西你自己留著吧，我沒興趣！
If you want something from the florist, you must pay for it.	想跟花商買東西，就得付錢。
You already have a rose.	你已經有一朵玫瑰了。
Selling flowers isn't a criminal offense!	賣花又不犯法！
The florist already has PLENTY of roses.	花商的玫瑰已經多得是了。
Hi, Sargeant Bonds.  Your wife's in room 307.	嗨，Bonds 警佐。你太太在307號房。
If you want something from the receptionist, just ask her.	想跟接待員要什麼，直接問她就好。
The receptionist stonily ignores you. You gather that she's used to ignoring people.	接待員冷冷地無視你。你猜她已經習慣不理人了。
That's right! Torture Marie's room number out of her!	沒錯！用刑逼她說出 Marie 的房號！
The receptionist isn't interested in that.	接待員對這個沒興趣。
Just press the button.  Trying to pry those doors open with your hands will only give you a hernia.	按鈕就好，想用手硬把電梯門扳開，只會讓你得疝氣。
Just walk there.	用走的過去就好。
If you want something why don't you ask the receptionist?	想要什麼，何不問問接待員？
Day 2	第2天
Day 3	第3天
Day 4	第4天
Day 5	第5天
Day 6	第6天
There are only 6 days in the game.	這個遊戲總共只有6天。
Even half-asleep, you recognize Captain Tate's stern voice...	即使還沒睡醒，你也認得出 Tate 警監那嚴厲的聲音……
"BONDS!... Rise and shine, pal! I need you back in Homicide today.  We've got work to do. Report in plain clothes."	「BONDS！……起床了，老兄！我今天需要你回重案組報到，有事要辦。穿便服來報到。」
Sleepily, you reply...	你睡眼惺忪地回答……
I'll be there before 1400 hours, Captain.	我1400時前會到，警監。
You hate waking up without Marie next to you.	你討厭醒來時身邊沒有 Marie。
You go through the motions of getting ready for work.	你機械式地準備出門上班。
A slightly irratated Captain Tate says... \n"Come on, Bonds. Time to roll out! Gotta go catch the badguys, remember? Get it in gear!"	有點不耐煩的 Tate 警監說……\n「快點，Bonds。該出發了！記得吧，我們還要去抓壞人？動作快！」
I...uh...I'm leaving now.	我……呃……我現在就出發。
Looking at the clock, you realize that you're late for work. You must have been day dreaming about Marie.	你看了看時鐘，發現自己上班要遲到了。你一定是在想 Marie 的事想到出神了。
Marie's hospital gown is all she needs right now.	Marie 現在只需要她的病人服。
The closet contains Marie's clothes and other personal items.	衣櫃裡放著 Marie 的衣物和其他私人物品。
On the shelf there's several of her favorite momentos including a music box.	架子上擺著她幾樣心愛的紀念品，其中包括一個音樂盒。
Anything you could 'do' with the bed wouldn't be any fun without Marie.	沒有 Marie 在，就算你對這張床能『做』什麼，也不會有趣。
There's no one you need to call.	沒有你需要打電話聯絡的人。
The night stand doesn't interest you.	床頭櫃引不起你的興趣。
The temperature in the room is fine. You decide not to open the window.	房間裡的溫度剛好，你決定不開窗。
You don't have time to sit down and read. You're late for work.	你沒時間坐下來看書了，上班要遲到了。
You're determined not to leave with out this witness.  She may be your only real lead to who attacked Marie.	你下定決心不能放過這個證人，她可能是你查出誰攻擊 Marie 的唯一真正線索。
You decide to soothe the old gal by securing her cart with your handcuffs.	你決定用手銬把她的推車固定好，好安撫這位老太太。
That's the ticket, Sonny Boy!  Let's go!	這才對嘛，Sonny 小子！走吧！
What?  Who... Who's that?  Whadya want?	什麼？誰……那是誰？你想幹嘛？
You try to convince the bag lady to go with you, but she's adamant.	你試著說服這位流浪老婦跟你走，但她態度堅決不肯。
The last time I left my cart alone for two seconds, I had a year's worth of Cosmo stolen!	上次我的推車才離開視線兩秒鐘，一整年份的《柯夢波丹》就被偷走了！
I ain't goin' nowhere without my cart, now.  Do you know how tough it is to find one with wheels that don't wobble?	我哪裡都不會去，除非帶著我的推車。你知道要找一台輪子不會晃的推車有多難嗎？
You can ask me all you want, Mr. Police Man.  Unless ya wanna drag me kickin' an screamin', you ain't gettin' me ta leave my cart unguarded!	你儘管問，警察先生。除非你要把我又踢又叫地拖走，不然別想叫我丟下推車不管！
The pile of newspapers rustles alarmingly.	那堆報紙發出一陣令人不安的沙沙聲。
Who the hell are you?  I don't talk to no strangers.	你到底是誰？我才不跟陌生人講話。
Ma'am, I'm Detective Sonny Bonds of the Lytton Police Department.	女士，我是 Lytton 警局的警探 Sonny Bonds。
Yea, so what cha want from me? I ain't done nothin' to nobody!	是喔，那你想從我這裡得到什麼？我又沒對誰做過什麼壞事！
You called and said you saw something at the Oak Tree Mall last night.  I'd like you to come downtown with me and help us out, maybe give us a description.	你打電話說昨晚在 Oak Tree Mall 看到了什麼。我想請你跟我到警局走一趟，幫我們個忙，或許描述一下當時的狀況。
Ooh! I'd love ta go ridin' in one of them real life squad cars. Okay!  Just help me put my stuff in the car.	噢！我最愛坐真正的警車兜風了。好啊！那就幫我把東西搬上車吧。
Ma'am, I'm sorry but there's not enough room in the trunk for your cart. You'll have to leave it here.	女士，很抱歉，後車廂放不下你的推車，你得把它留在這裡。
What?! Leave my STUFF? Ooh, nooo! I can't very well just up and leave my STUFF.	什麼？！丟下我的東西？喔，不行！我怎麼能就這樣丟下我的東西不管。
Well, bless your heart.  My cart is still safe.	哎呀，你人真好，我的推車還是安全的。
Thanks for the sandwich.	謝謝你的三明治。
You retrieve your cuffs.	你收回了手銬。
You move to place a hand on the bag lady's arm and she draws away in horror.  She obviously hates being touched.	你伸手想搭在這位老婦的手臂上，她卻驚恐地縮開身子，顯然很討厭被人碰觸。
Manhandling the bag lady is not going to solve anything.  She's not likely to help you if she's angry.	對這位老婦動粗解決不了任何問題，她一旦生氣就更不可能幫你了。
The shape of that pile of newspapers looks vaguely familiar.	那堆報紙的形狀看起來似曾相識。
As you look closely at the bag lady, you realize that she's not nearly as old as you first thought.  The streets have a way of making all of the homeless look old and used up.	你仔細一看，才發現這位老婦其實沒有你一開始想的那麼老。街頭生活總有辦法讓遊民看起來又老又憔悴。
She's asleep. Why don't you try it when she's awake?	她睡著了，等她醒著的時候再試試看吧。
Showing your badge to a bundle of newspapers is pretty useless.	對著一堆報紙亮警徽，一點用也沒有。
 She's still waking up, she doesn't see your ID.	她還沒完全清醒，沒看到你的證件。
Showing her your badge again doesn't make her any more impressed.	再亮一次警徽也不會讓她更佩服你。
The pile of grungy newspapers is empty now.	那堆髒兮兮的報紙現在已經空了。
You ought not to disturb the old woman's... uh... bed.	你不該打擾這位老婦的……呃……床鋪。
The rusty shopping cart is loaded down with junk.	這台生鏽的購物車裝滿了雜物。
Carla's shopping cart is loaded down with her treasures and memories.	Carla 的購物車裝滿了她的寶貝與回憶。
The rusty shopping cart is loaded down with the old woman's treasures and memories.	這台生鏽的購物車裝滿了這位老婦的寶貝與回憶。
It wouldn't fit in your car.	這放不進你的車子裡。
Carla needs her cart more than you do.	Carla 比你更需要她的購物車。
The cart probably belongs to a homeless person.   They need that stuff more than you do.	這台推車大概是某個遊民的。他們比你更需要那些東西。
I think the bag lady would be irritated if you took off with her cart.	我想那個拾荒婦人，要是你把她的推車推走，一定會不高興。
You have no reason to do that right now.	你現在沒有理由這麼做。
You look fondly at your car.	你深情地看著自己的車。
Use your car if you want to leave.	想離開就開你的車。
What do you want to do with the pipe?	你想拿這根管子做什麼？
Nice thought, but you don't have time to clean up the place.	想法不錯，但你沒時間整理這裡。
There's nothing you need in the trash bin. Leave that stuff for the garbage collector.	垃圾桶裡沒有你需要的東西，那些留給清潔隊員吧。
You request to see Judge Simpson in her chambers.	你請求在辦公室會見 Simpson 法官。
There's nothing for you to do at the courthouse right now.	你現在在法院沒有事可做。
I'll be waitin' for ya in the car, Boss.	我在車上等你，老大。
Just use the front door.	從前門走就好。
You consider using the bushes, but decide that you can wait until you get to a restroom.	你考慮過要不要去灌木叢解決，但決定還是忍到有廁所的地方再說。
Hey!  Try to keep your mind on your work, Ok, bonds?	喂！做事專心一點，好嗎，Bonds？
Hey!  Try to keep your mind on your work Ok bonds?	喂！做事給我專心一點，Bonds？
Just tell the judge what happened when you get on the stand.	你上證人席之後，把事情經過照實告訴法官就好。
Don't worry about it. Just tell the truth.	別擔心，照實說就好。
We shouldn't have a problem with this one if you've followed procedure.	只要你照程序辦事，這件案子應該不會有問題。
You take the witness chair next to the Deputy District Attorney.	你在副地方檢察官旁邊的證人席坐下。
The bailiff says in a loud voice. All rise for the honorable Judge Mildred Simpson.	法警高聲喊道：全體起立，尊敬的 Mildred Simpson 法官到庭。
The bailiff says in a loud voice. Court is now in session.  Please be seated.	法警高聲宣布：現在開庭，請坐下。
Directing her attention to the prosecutor, Judge Simpson says...	Simpson 法官將視線轉向檢察官，說道……
Officer, please raise your right hand.	警員，請舉起你的右手。
Do you swear to tell the truth, the whole truth, and nothing but the truth?	你是否宣誓，所言句句屬實，絕無隱瞞？
Please state your name and occupation for the court.	請向法庭陳述你的姓名與職業。
You point out Mr. Ruiz and say...	你指向 Ruiz 先生，說道……
Speaking to the court reporter...	你對書記官說……
Let the record reflect that Officer Bonds has identified the defendant, Mr. Juan Ruiz.	請記錄：Bonds 警員已指認被告 Juan Ruiz 先生。
Officer Bonds, would you please describe the events which led up to your issuing a citation to Mr. Ruiz?	Bonds 警員，請你描述一下，你開罰單給 Ruiz 先生之前發生的經過。
Certainly. I had routine traffic duty that day.	當然。那天我執行例行交通勤務。
I had been on duty for about six hours and was patrolling the highway when I drove up on a line of slow-moving cars in the fast lane.	我當時已經值勤大約六個小時，正在公路上巡邏，這時我開到快車道上一長串龜速行駛的車陣後面。
I pulled around them in the slow lane and when I reached the head of the line I saw Mr. Ruiz in a 1958 Ford Fairlane.	我從慢車道超過他們，開到車陣前頭時，看到 Ruiz 先生開著一輛 1958 年的 Ford Fairlane。
I could see immediately that he was going way under the speed limit, so I clocked him. My speedometer registered 35 mph.	我馬上看出他的車速遠低於速限，於是用測速器量他的車速，我的時速表顯示 35 英里。
Irritated, Judge Simpson raps her gavel...	Simpson 法官不耐煩地敲了敲法槌……
You'll hear plenty of the attorney's voice soon enough.	你等一下就會聽膩律師的聲音了。
The judge addresses the defense attorney...	法官對辯護律師說道……
The defense attorney cross-examines you.	辯護律師對你進行交叉詰問。
not Guilty condition we shouldn't have gotten here!!	「無罪」條件——我們不應該執行到這裡！！
Mr. Ruiz, please raise your right hand.	Ruiz 先生，請舉起你的右手。
Please state your name for the court.	請向法庭陳述你的姓名。
I was just driving, your Honor! Not doing nothing! I'm a very careful driver!	我只是在開車而已，庭上！什麼壞事都沒幹！我開車可小心了！
I don't do no showing off or nothing in my ride. I wasn't speeding, I wasn't going slow, I wasn't doing nothing!	我開車從來不炫耀什麼的。我沒超速，也沒開太慢，我什麼都沒做！
These cops just don't like Chicanos, man, and that's the truth. He'd of busted me if I was goin' 54!	這些條子就是看墨西哥裔不順眼，老兄，我說的是實話。我要是開到 54，他早就把我攔下來開罰單了！
You mumble...	你喃喃自語……
You hand the calibration chart to the Deputy District Attorney.	你把校正表交給副地方檢察官。
The District Attorney isn't interested in excuses. He just wants the calibration chart.	地方檢察官對藉口沒興趣，他只要校正表。
Ruiz isn't any more interested in talking to you than you are in talking to him.	Ruiz 跟你一樣，完全不想跟對方講話。
What? In a court of law?	什麼？在法庭上？
This is a court proceeding, not a swap meet!	這是法庭審理，不是跳蚤市場！
Please answer the question, sir.	先生，請回答問題。
When the judge wants your opinion, she'll ask for it.	法官需要你的意見時，自然會問你。
The bailiff doesn't look like the sort to tolerate any nonsense in his courtroom.	這位法警看起來不是會在自己法庭裡容忍胡鬧的人。
The bailiff doesn't want to talk to you.	法警不想跟你說話。
Just hand him the calibration chart.	把校正表交給他就好。
The D.A. has already seen that.	檢察官已經看過那個了。
When the D.A. wants the calibration chart, he'll ask for it.	檢察官需要校正表時，自然會跟你要。
The court reporter is too busy to talk to you now.	書記官現在太忙，沒空跟你說話。
The court reporter is busy.	書記官正在忙。
You're happy with the seat you're in.	你對現在坐的位子很滿意。
You'll need to sit up front at the prosecutor's table.	你得坐到前排檢察官那一桌。
You can't go in there while court is in session.	開庭期間你不能進去那裡。
You don't need the calendar.	你不需要這份日曆。
If you want a nice gavel like that, you'll just have to go to law school.	如果你想要一支像那樣的法槌，你就得去讀法學院。
You're already in the witness box.	你已經在證人席上了。
The court will call you when your testimony is needed.	法庭需要你作證時會傳喚你。
Officer Bonds! Have you forgotten something?	Bonds 警員！你是不是忘了什麼東西？
Sheepishly you go back and pick up the %s.	你有點不好意思地走回去撿起 %s。
Well, Officer! What's on your mind.	好啊，警員！你在想什麼？
Judge Simpson looks up as you come into her chambers.	你走進辦公室時，Simpson 法官抬起頭來。
I see you're back. Did you have a problem with the warrant?	我看你回來了，搜索票是不是出了什麼問題？
No, not the warrant - just gaining entry. The place is fortified. There's only one way to get into that house. I'm requesting a special order to use the department's ram unit.	不，不是搜索票的問題——是進不去。那個地方戒備森嚴，只有一個辦法能進到那棟房子裡。我要申請特別命令，動用局裡的破門裝置。
The judge studies you closely, then says...	法官仔細打量你，接著說道……
I see. Alright, Officer. I trust your judgement.	我明白了。好吧，警員，我相信你的判斷。
Just make sure you have plenty of back up.	記得多帶點支援人手。
You explain to the judge about recovering Marie's locket. You tell her you believe the cult is responsible for Marie's attempted murder.	你向法官說明你尋回 Marie 項鍊墜子的經過，並告訴她你認為那個邪教組織涉嫌謀害 Marie 未遂。
OOPS THINGS GIVEN DOESN'T WORK	糟糕，給予物品的功能沒有作用
You tell the judge how the photograph of Michael and Jessie Bains helped you locate the suspected crack house.	你告訴法官，Michael 和 Jessie Bains 的合照是如何幫助你找到疑似的快克毒窟。
You hand the news clipping to the judge.	你把剪報交給法官。
You try to convince the judge, but she insists on more evidence.	你試著說服法官，但她堅持要更多證據。
I can see you've done some good detective work, Officer Bonds, but I need more evidence to justify a search warrant.	我看得出你做了不少扎實的偵查工作，Bonds 警員，但我需要更多證據才能核發搜索票。
Your Honor, I'm convinced that some sort of cult operating a crack house at this location.	庭上，我確信有某個邪教組織在這個地點經營快克毒窟。
I wish I were as convinced, Officer Bonds. Is there anything else?	我倒希望自己也能這麼確信，Bonds 警員。還有其他證據嗎？
Well! This looks like a very nasty business indeed! You've sold me. I'll sign the warrant.	哦！這件事看來確實相當骯髒！你說服我了，我會簽發搜索票。
Judge Simpson lays the warrant on the desk and says...	Simpson 法官把搜索票放在桌上，說道……
Good luck, Officer. Contact me if you need any further assistance.	祝你好運，警員。需要進一步協助的話再跟我聯絡。
Sounds like you have a good case Bonds. But I need a location and at least an attempt to gain normal entry.	聽起來你這個案子辦得不錯，Bonds。但我需要確切地點，而且你至少得先嘗試過正常的方式進入。
I wish I could help, but you must go to the location and see if anyone is home first.	我也想幫忙，但你得先去那個地點，看看有沒有人在家。
Your Honor,... I need to obtain a search warrant.	庭上……我需要申請一張搜索票。
***I have this fix-it ticket that I was hoping you could clear for me.	***我這裡有一張改正罰單，希望你能幫我銷掉。
Well Then... how bout I just write one up for you...	那好吧……不如我幫你重新開一張……
Come on Officer! You know the rules. I need some evidence before I can issue you a warrant.	拜託，警員！你知道規矩的，我得先有證據才能核發搜索票給你。
You know the procedures.  Sorry, I can't help you right now.	你知道規定的，抱歉，我現在幫不了你。
The judge is not the kind of person you want to mess with.	這位法官可不是你想惹的人。
You've already shown Marie's locket to Judge Simpson.	你已經把 Marie 的項鍊墜子給 Simpson 法官看過了。
You've already shown the photograph to Judge Simpson.	你已經把那張照片給 Simpson 法官看過了。
You've already shown the news clipping to Judge Simpson.	你已經把那份剪報給 Simpson 法官看過了。
She'd rip you apart, Bonds.	她會把你罵得體無完膚，Bonds。
I remember you perfectly well, Officer Bonds!	我對你印象可深了，Bonds 警員！
The judge isn't interested in that.	法官對那個沒興趣。
The judicial order lies on the desk.	法院命令放在桌上。
The search warrant lies on the desk.	搜索票放在桌上。
You pick up the judicial order.	你拿起法院命令。
The judge would not appreciate you handling her things.	法官不會希望你亂動她的東西。
If the judge wants her windows open, she'll open them herself.	如果法官想開窗，她會自己動手。
The victim's over there in the dumpster.	被害人在那邊的大型垃圾箱裡。
I called the coroner.  He's on his way.	我已經通知法醫了，他正在路上。
I'll be posted at the entrance of the alley waiting for the meat wagon if ya need me.	如果你需要我，我會守在巷口等運屍車。
I'll do the camera bit, Bonds.	拍照的部分交給我來，Bonds。
Ay, Chihuahua!	Ay, Chihuahua!
Ok Sonny, I got them.	好，Sonny，我拿到了。
Hey Bonds.  Nice day, eh?  How's the stiff?	嘿，Bonds，今天天氣不錯吧？屍體那邊怎麼樣了？
He's hangin' in there, Leon.	撐著呢，Leon。
I'll take care of him now, Bonds.  You can go catch some bad guys.	現在交給我處理就好，Bonds，你去抓壞人吧。
Hey, looks like he has something in his pocket!	嘿，他口袋裡好像有東西！
The coroner hands you the license to record in your notebook.	法醫把駕照交給你，讓你抄進筆記本。
You hand the victim's I.D. to the coroner.	你把被害人的身分證交給法醫。
You log the victim's information in your notebook before handing the I.D. to the coroner.	你先把被害人的資料記進筆記本，再把身分證交給法醫。
Ah, not a pretty picture eh?  Let me guess - his name isn't 'Lucky'.	啊，這畫面不太好看吧？我猜猜——他的名字大概不叫「Lucky」。
You notice a fresh dent marked with gold paint on this side of the car.	你注意到車身這一側有個新的凹痕，上面沾著金色烤漆。
Did you hear the one about the Orthodox Jewish Coroner and the hotdog salesman?	你聽過那個正統猶太法醫和熱狗小販的笑話嗎？
So I says to her, Aunt Sophie, could we just this once NOT turn this into a funeral already?	所以我就跟她說，Sophie 阿姨，我們這一次可不可以別又搞得像辦喪事一樣？
So yesterday, I'm eatin' one of my wife's bagels (no lox, 'cause she forgot ta go to the deli), and I'm usin' this napkin.  I THINK it's clean, right?...	昨天啦，我在吃我老婆做的貝果（沒帶鮭魚卵，因為她忘記去熟食店拿），我用這個餐巾紙。我覺得沒髒啦？...
Your bettin' on WHO in the super bowl?   Are you CRAZY?  Are you INSANE?  Ya wanna kill yourself, let me do it.  It'll be quicker.	你在賭誰贏超級盃？你瘋了嗎？你精神有問題嗎？想死的話讓我來。我手比較快。
That's Leon.  He's a great Coroner, but the guy has a sick sense of humor.	那是 Leon。他是個好法醫，不過這傢伙幽默感很扭曲。
One murder's enough for this dark alley, don't you think?	一宗命案對這條黑巷子夠了吧，你不覺得？
You really like to flash those credentials, don't you?	你很喜歡亮警徽嘛？
Don't you want to log the information about Andrew Dent in your notebook first?	你不想先把 Andrew Dent 的資料記進筆記本？
That's nice, Bonds, but I only care for that stuff when it's still on the body.  Save it for L.P.D evidence.	不錯，Bonds，但我只在東西還在屍體上時才在乎。留著當 Lytton 警局的證物吧。
Ah!  Would that the dead COULD speak!	啊！要是死人能說話就好了！
You think about shooting the murder victim, but he's ALREADY DEAD!	你想朝命案被害人開槍，但他已經死了！
You identify yourself to the stiff, then contemplate a long vacation.	你向屍體報上身分，然後幻想著度假。
The car's been abandoned for some time.  There's nothing of interest in there.	那部車被棄置有一陣子了。裡面沒什麼有價值的。
You don't need another sample.	你不需要再拿樣本了。
You carefully scrape some of the gold paint transfer from the side of the white car along with a little white paint into the paper envelope.	你小心地把白車側面的金色油漆轉移跡象和少量白漆刮進紙信封。
You need to use the proper field equipment to take a clean paint sample.	你得用適當的現場勘查工具才能拿到乾淨的油漆樣本。
You don't have the field equipment necessary to take a clean paint sample.	你沒有拿乾淨油漆樣本所需的現場勘查工具。
You don't need to worry about the garage.	你不必擔心修車廠。
The uniformed officer will remove the tape when the body has been removed and the crime lab is finished with the area.	等屍體移走、鑑識組也勘查完現場，那位警員就會把膠帶撕掉。
You need to give the license to the coroner first.	你得先把駕照給法醫。
Using the toothpick, you scrape under the victim's fingernails.  You then place the collected skin and hair into a sample envelope.	你用牙籤在被害人指甲下方刮擦。然後把蒐集到的皮膚和毛髮放進樣本信封。
